ticket_id,company_id,created_date,resolved_date,priority,category,status,satisfaction_score
16_2,16,2024-10-06,2024-10-07,Critical,Outage,Resolved,3
16_3,16,2024-12-06,2024-12-10,Critical,Bug,Open,1
16_4,16,2025-12-09,2025-12-11,Critical,Billing,Resolved,3
17_0,17,2025-08-27,2025-08-31,High,Outage,Escalated,2
19_0,19,2025-11-17,2025-11-18,Critical,Bug,Escalated,2
19_1,19,2024-01-25,2024-01-28,High,Outage,Escalated,2
19_2,19,2025-07-05,2025-07-09,Critical,Bug,Resolved,1
21_0,21,2024-11-05,2024-11-09,Critical,Feature,Open,2
21_1,21,2024-05-15,2024-05-15,Medium,Billing,Resolved,4
21_2,21,2025-11-21,2025-11-23,Medium,Outage,Resolved,4
21_3,21,2025-09-08,2025-09-11,Medium,Billing,Resolved,5
21_4,21,2023-12-28,2024-01-01,Low,Billing,Open,2
21_5,21,2022-10-08,2022-10-10,High,Outage,Escalated,2
22_0,22,2025-06-27,2025-06-29,Medium,Bug,Resolved,1
22_1,22,2024-04-24,2024-04-29,High,Billing,Open,5
22_2,22,2024-07-25,2024-07-25,Critical,Bug,Escalated,4
23_0,23,2026-02-21,2026-02-25,Critical,Feature,Open,1
23_1,23,2026-02-25,2026-03-02,High,Outage,Open,1
23_2,23,2026-03-03,2026-03-07,High,Outage,Resolved,2
24_0,24,2025-09-06,2025-09-07,High,Billing,Resolved,1
25_0,25,2024-11-01,2024-11-05,Low,Feature,Resolved,3
25_1,25,2025-11-14,2025-11-14,Low,Bug,Open,1
25_2,25,2021-12-01,2021-12-02,Critical,Feature,Open,4
25_3,25,2023-08-07,2023-08-08,Critical,Billing,Resolved,3
25_4,25,2022-09-09,2022-09-10,Low,Bug,Escalated,5
26_0,26,2025-10-31,2025-11-03,Medium,Billing,Resolved,3
26_1,26,2024-03-13,2024-03-18,Critical,Feature,Resolved,4
26_2,26,2026-01-07,2026-01-11,Critical,Billing,Resolved,5
27_0,27,2023-03-29,2023-04-01,High,Outage,Open,4
27_1,27,2025-09-21,2025-09-21,Critical,Outage,Escalated,2
27_2,27,2025-10-22,2025-10-23,Critical,Feature,Escalated,3
28_0,28,2025-11-08,2025-11-09,Critical,Bug,Open,1
28_1,28,2025-11-15,2025-11-17,Critical,Outage,Resolved,3
28_2,28,2025-12-18,2025-12-23,Critical,Billing,Resolved,1
28_3,28,2025-12-08,2025-12-09,Medium,Bug,Open,3
29_0,29,2025-10-03,2025-10-07,Medium,Feature,Escalated,4
29_1,29,2025-10-18,2025-10-22,High,Bug,Open,1
29_2,29,2024-08-17,2024-08-18,Medium,Outage,Open,4
29_3,29,2024-03-31,2024-03-31,High,Billing,Escalated,4
30_0,30,2025-01-28,2025-01-29,High,Outage,Escalated,4
30_1,30,2023-09-07,2023-09-11,High,Feature,Resolved,1
30_2,30,2024-04-14,2024-04-18,Critical,Bug,Open,4
30_3,30,2023-12-25,2023-12-25,Low,Bug,Escalated,1
30_4,30,2023-05-27,2023-05-27,Critical,Bug,Resolved,3
30_5,30,2024-12-06,2024-12-11,Low,Billing,Open,5
30_6,30,2022-12-09,2022-12-11,Critical,Feature,Open,4
30_7,30,2026-02-23,2026-02-27,Critical,Feature,Escalated,1
30_8,30,2023-07-20,2023-07-21,Medium,Billing,Escalated,1
30_9,30,2025-04-03,2025-04-04,Medium,Outage,Open,5
31_0,31,2024-09-02,2024-09-03,High,Outage,Resolved,1
31_1,31,2025-10-27,2025-11-01,Critical,Outage,Open,3
31_2,31,2025-08-07,2025-08-07,High,Outage,Open,1
31_3,31,2024-07-01,2024-07-02,High,Outage,Escalated,1
31_4,31,2026-01-04,2026-01-09,Critical,Billing,Open,2
31_5,31,2025-09-27,2025-09-27,High,Outage,Resolved,3
31_6,31,2025-01-30,2025-02-02,High,Billing,Open,2
31_7,31,2025-08-30,2025-08-30,High,Feature,Escalated,1
31_8,31,2025-01-25,2025-01-27,High,Bug,Escalated,3
32_0,32,2024-06-26,2024-07-01,Medium,Feature,Resolved,5
32_1,32,2023-08-13,2023-08-16,Medium,Billing,Escalated,4
32_2,32,2024-01-23,2024-01-27,Low,Outage,Resolved,5
32_3,32,2024-10-08,2024-10-13,Low,Feature,Escalated,2
32_4,32,2025-03-13,2025-03-13,Critical,Bug,Resolved,2
33_0,33,2025-12-28,2025-12-30,Critical,Bug,Resolved,3
33_1,33,2025-10-31,2025-10-31,Low,Outage,Open,3
33_2,33,2024-09-09,2024-09-10,Medium,Billing,Open,4
33_3,33,2023-11-04,2023-11-07,High,Outage,Open,4
33_4,33,2026-01-31,2026-02-05,Medium,Bug,Open,3
35_0,35,2025-08-27,2025-08-29,High,Outage,Resolved,3
36_0,36,2026-02-27,2026-02-28,Medium,Billing,Resolved,4
36_1,36,2026-02-24,2026-02-24,Critical,Feature,Open,1
36_2,36,2026-02-18,2026-02-22,Critical,Feature,Open,2
36_3,36,2026-02-18,2026-02-23,Low,Billing,Escalated,1
36_4,36,2026-03-03,2026-03-05,Critical,Bug,Escalated,3
36_5,36,2026-02-25,2026-03-02,Critical,Bug,Resolved,5
36_6,36,2026-02-25,2026-02-25,Low,Bug,Open,5
36_7,36,2026-02-17,2026-02-21,Critical,Feature,Resolved,1
37_0,37,2025-03-05,2025-03-08,Critical,Bug,Escalated,5
37_1,37,2025-02-10,2025-02-13,Critical,Feature,Open,1
37_2,37,2025-04-19,2025-04-20,Critical,Feature,Open,5
37_3,37,2025-06-28,2025-06-29,High,Outage,Resolved,2
37_4,37,2024-09-01,2024-09-01,High,Feature,Escalated,5
37_5,37,2023-08-14,2023-08-16,High,Billing,Resolved,3
38_0,38,2025-12-30,2025-12-31,Medium,Outage,Open,5
38_1,38,2026-01-26,2026-01-28,High,Bug,Escalated,2
40_0,40,2024-05-18,2024-05-18,Critical,Outage,Open,1
40_1,40,2025-01-21,2025-01-26,Critical,Outage,Escalated,2
40_2,40,2025-10-22,2025-10-25,Critical,Outage,Escalated,3
40_3,40,2023-07-07,2023-07-09,Critical,Feature,Escalated,2
40_4,40,2024-04-08,2024-04-13,High,Bug,Escalated,1
40_5,40,2021-05-27,2021-05-29,High,Billing,Open,3
40_6,40,2025-12-21,2025-12-22,High,Outage,Resolved,3
40_7,40,2025-09-07,2025-09-11,High,Billing,Escalated,3
40_8,40,2022-06-19,2022-06-23,Critical,Billing,Open,2
41_0,41,2025-07-11,2025-07-11,Low,Billing,Open,3
41_1,41,2025-06-04,2025-06-04,Medium,Billing,Resolved,5
41_2,41,2025-12-07,2025-12-11,Low,Billing,Resolved,3
41_3,41,2025-10-16,2025-10-19,High,Billing,Resolved,4
41_4,41,2025-10-05,2025-10-06,High,Outage,Open,2
41_5,41,2025-07-04,2025-07-07,High,Bug,Resolved,1
42_0,42,2022-06-15,2022-06-15,Low,Outage,Resolved,1
42_1,42,2023-02-09,2023-02-13,Low,Billing,Open,2
42_2,42,2025-01-09,2025-01-13,High,Feature,Open,5
42_3,42,2025-05-10,2025-05-11,Low,Outage,Resolved,2
42_4,42,2026-01-23,2026-01-25,Critical,Bug,Resolved,2
42_5,42,2021-10-06,2021-10-11,Medium,Billing,Escalated,4
42_6,42,2021-06-25,2021-06-30,High,Billing,Escalated,3
42_7,42,2023-02-19,2023-02-21,Medium,Bug,Open,4
42_8,42,2025-12-30,2025-12-31,Critical,Billing,Escalated,5
43_0,43,2025-09-08,2025-09-11,Critical,Bug,Open,2
43_1,43,2024-05-29,2024-05-29,Critical,Outage,Open,4
43_2,43,2024-04-24,2024-04-29,Critical,Billing,Open,2
44_0,44,2023-01-15,2023-01-19,Medium,Billing,Resolved,3
44_1,44,2023-10-24,2023-10-28,Medium,Bug,Resolved,5
45_0,45,2025-02-18,2025-02-22,High,Bug,Escalated,1
45_1,45,2024-10-25,2024-10-27,Medium,Bug,Escalated,4
45_2,45,2025-03-03,2025-03-04,High,Feature,Resolved,2
45_3,45,2026-03-02,2026-03-02,Medium,Outage,Resolved,5
45_4,45,2025-02-07,2025-02-08,Medium,Billing,Resolved,3
45_5,45,2025-03-02,2025-03-06,High,Bug,Resolved,4
45_6,45,2024-12-05,2024-12-05,Low,Bug,Escalated,3
45_7,45,2024-10-17,2024-10-21,Critical,Feature,Escalated,1
45_8,45,2026-02-14,2026-02-18,High,Billing,Escalated,5
46_0,46,2025-08-22,2025-08-26,Low,Bug,Open,5
46_1,46,2026-02-09,2026-02-10,Critical,Billing,Open,5
46_2,46,2025-08-18,2025-08-18,Medium,Bug,Open,3
46_3,46,2025-06-14,2025-06-19,Critical,Bug,Resolved,4
46_4,46,2025-08-06,2025-08-09,High,Billing,Escalated,2
47_0,47,2023-11-13,2023-11-15,High,Outage,Escalated,3
48_0,48,2025-12-15,2025-12-15,Medium,Bug,Resolved,1
48_1,48,2026-02-12,2026-02-15,Low,Feature,Open,1
48_2,48,2025-09-14,2025-09-19,High,Feature,Open,3
48_3,48,2025-11-10,2025-11-12,Critical,Feature,Resolved,1
48_4,48,2025-04-06,2025-04-10,High,Feature,Open,4
48_5,48,2025-10-20,2025-10-20,High,Feature,Resolved,1
48_6,48,2025-11-05,2025-11-08,Low,Bug,Open,4
49_0,49,2025-12-07,2025-12-08,Critical,Bug,Escalated,3
50_0,50,2024-07-06,2024-07-11,Critical,Billing,Resolved,2
50_1,50,2023-07-10,2023-07-10,Low,Bug,Open,1
50_2,50,2025-10-24,2025-10-27,Critical,Feature,Escalated,1
51_0,51,2023-05-09,2023-05-10,Medium,Billing,Resolved,1
51_1,51,2024-06-21,2024-06-21,Critical,Billing,Escalated,4
51_2,51,2024-12-02,2024-12-05,Critical,Bug,Open,4
51_3,51,2024-05-29,2024-06-01,Low,Billing,Escalated,5
51_4,51,2023-07-06,2023-07-08,Critical,Bug,Open,2
51_5,51,2025-07-23,2025-07-28,Low,Billing,Resolved,1
51_6,51,2023-06-12,2023-06-14,Medium,Bug,Resolved,4
51_7,51,2024-07-10,2024-07-13,High,Feature,Escalated,1
51_8,51,2024-07-06,2024-07-07,Low,Billing,Escalated,3
51_9,51,2025-08-26,2025-08-31,Critical,Feature,Escalated,3
52_0,52,2024-05-03,2024-05-04,Medium,Bug,Escalated,3
52_1,52,2023-12-19,2023-12-21,Critical,Bug,Resolved,1
53_0,53,2024-02-27,2024-02-29,Critical,Outage,Escalated,5
53_1,53,2025-07-28,2025-07-28,High,Feature,Escalated,1
53_2,53,2023-04-27,2023-05-02,Critical,Outage,Escalated,2
53_3,53,2023-04-22,2023-04-26,Low,Bug,Resolved,4
55_0,55,2024-12-10,2024-12-11,High,Billing,Resolved,3
55_1,55,2025-10-01,2025-10-01,Low,Bug,Open,1
55_2,55,2024-04-23,2024-04-27,Medium,Outage,Escalated,4
56_0,56,2024-12-06,2024-12-07,High,Feature,Escalated,2
56_1,56,2023-02-10,2023-02-11,High,Bug,Resolved,2
56_2,56,2024-09-22,2024-09-26,Critical,Outage,Resolved,1
56_3,56,2024-06-02,2024-06-07,High,Bug,Resolved,2
56_4,56,2023-03-05,2023-03-06,High,Feature,Escalated,1
56_5,56,2025-05-15,2025-05-15,Critical,Bug,Resolved,2
56_6,56,2024-10-31,2024-11-04,High,Feature,Escalated,3
56_7,56,2025-05-13,2025-05-16,Critical,Billing,Open,1
56_8,56,2025-07-05,2025-07-10,Critical,Feature,Escalated,2
56_9,56,2024-03-15,2024-03-19,High,Outage,Open,2
57_0,57,2025-12-03,2025-12-06,Low,Feature,Resolved,1
57_1,57,2026-01-21,2026-01-26,Medium,Feature,Resolved,1
57_2,57,2026-01-03,2026-01-03,Low,Feature,Open,3
58_0,58,2022-08-13,2022-08-16,Medium,Bug,Escalated,4
58_1,58,2021-10-21,2021-10-22,Medium,Outage,Open,5
58_2,58,2023-04-18,2023-04-23,Medium,Billing,Open,2
58_3,58,2023-10-12,2023-10-13,High,Bug,Resolved,5
58_4,58,2024-11-14,2024-11-14,High,Billing,Resolved,1
58_5,58,2021-08-22,2021-08-23,High,Feature,Open,5
59_0,59,2025-07-06,2025-07-09,Low,Bug,Resolved,4
59_1,59,2023-07-08,2023-07-10,Medium,Bug,Resolved,2
59_2,59,2025-08-02,2025-08-05,High,Feature,Open,5
59_3,59,2023-04-29,2023-05-03,Low,Bug,Open,3
60_0,60,2023-04-01,2023-04-04,Critical,Billing,Resolved,5
61_0,61,2024-04-21,2024-04-23,High,Feature,Open,5
61_1,61,2023-05-06,2023-05-08,High,Outage,Resolved,4
61_2,61,2023-10-22,2023-10-22,Medium,Bug,Escalated,5
62_0,62,2024-06-30,2024-06-30,Low,Billing,Escalated,4
63_0,63,2026-02-25,2026-02-25,Critical,Outage,Resolved,2
63_1,63,2026-02-17,2026-02-17,Medium,Outage,Resolved,3
63_2,63,2026-02-20,2026-02-22,Low,Bug,Resolved,2
63_3,63,2026-02-27,2026-03-01,High,Outage,Resolved,5
63_4,63,2026-02-25,2026-02-28,High,Outage,Open,3
63_5,63,2026-02-21,2026-02-21,High,Outage,Escalated,2
64_0,64,2025-09-13,2025-09-18,Critical,Feature,Open,2
64_1,64,2025-10-17,2025-10-22,High,Billing,Escalated,1
64_2,64,2025-12-16,2025-12-20,Critical,Billing,Resolved,2
64_3,64,2025-10-24,2025-10-24,Critical,Billing,Escalated,1
64_4,64,2025-11-16,2025-11-21,Critical,Billing,Escalated,1
65_0,65,2025-12-22,2025-12-23,Low,Outage,Open,3
65_1,65,2026-02-11,2026-02-16,Low,Billing,Resolved,5
65_2,65,2025-08-18,2025-08-23,High,Billing,Open,4
65_3,65,2026-01-01,2026-01-01,High,Billing,Open,4
65_4,65,2026-02-25,2026-02-25,Critical,Feature,Open,5
66_0,66,2025-06-10,2025-06-14,Medium,Outage,Escalated,5
66_1,66,2024-09-03,2024-09-08,Critical,Billing,Open,5
66_2,66,2024-12-07,2024-12-10,Low,Feature,Resolved,3
66_3,66,2025-12-06,2025-12-06,Critical,Bug,Escalated,2
66_4,66,2025-02-24,2025-02-28,Critical,Outage,Resolved,3
66_5,66,2024-10-20,2024-10-20,Low,Feature,Open,5
66_6,66,2025-11-13,2025-11-15,Critical,Outage,Open,4
66_7,66,2025-04-13,2025-04-13,Critical,Billing,Open,4
66_8,66,2026-01-08,2026-01-08,Low,Bug,Escalated,1
67_0,67,2024-03-28,2024-03-31,Low,Billing,Resolved,4
67_1,67,2025-12-26,2025-12-30,Medium,Billing,Resolved,5
67_2,67,2023-08-15,2023-08-18,Low,Outage,Open,4
67_3,67,2025-02-22,2025-02-23,High,Bug,Open,2
67_4,67,2025-04-30,2025-05-01,High,Feature,Resolved,3
68_0,68,2026-02-12,2026-02-14,Low,Feature,Open,3
68_1,68,2022-12-12,2022-12-14,High,Billing,Open,1
68_2,68,2021-08-11,2021-08-14,Low,Feature,Escalated,5
68_3,68,2021-07-20,2021-07-24,High,Feature,Open,1
68_4,68,2024-06-20,2024-06-23,Medium,Billing,Escalated,1
68_5,68,2021-10-01,2021-10-05,Medium,Outage,Resolved,2
68_6,68,2025-12-21,2025-12-26,Low,Feature,Escalated,5
68_7,68,2021-10-07,2021-10-08,High,Outage,Open,2
69_0,69,2025-11-10,2025-11-14,High,Billing,Resolved,3
69_1,69,2025-12-28,2026-01-01,Critical,Billing,Open,3
69_2,69,2025-06-18,2025-06-18,High,Outage,Resolved,3
69_3,69,2025-10-15,2025-10-18,High,Outage,Escalated,3
69_4,69,2025-08-30,2025-09-03,High,Billing,Open,2
69_5,69,2023-02-20,2023-02-22,High,Feature,Open,1
69_6,69,2024-07-19,2024-07-24,Critical,Feature,Escalated,1
69_7,69,2024-01-03,2024-01-08,High,Feature,Resolved,2
69_8,69,2024-12-27,2024-12-30,High,Billing,Escalated,3
69_9,69,2025-12-04,2025-12-05,High,Feature,Open,2
70_0,70,2023-11-20,2023-11-21,High,Bug,Resolved,1
70_1,70,2024-12-01,2024-12-02,Critical,Feature,Resolved,3
71_0,71,2024-12-12,2024-12-14,Critical,Bug,Open,3
71_1,71,2025-09-12,2025-09-12,Critical,Bug,Open,1
71_2,71,2025-10-30,2025-10-30,Critical,Bug,Escalated,1
71_3,71,2025-12-09,2025-12-11,Critical,Billing,Escalated,1
71_4,71,2025-04-16,2025-04-16,High,Outage,Escalated,3
71_5,71,2024-09-05,2024-09-09,High,Outage,Open,1
71_6,71,2025-08-01,2025-08-04,High,Outage,Open,1
72_0,72,2025-10-28,2025-11-01,Medium,Feature,Open,5
72_1,72,2025-09-24,2025-09-26,Critical,Outage,Escalated,2
72_2,72,2025-10-02,2025-10-04,High,Billing,Escalated,2
72_3,72,2025-10-04,2025-10-07,High,Billing,Resolved,4
72_4,72,2026-01-13,2026-01-16,Medium,Feature,Escalated,3
72_5,72,2026-02-21,2026-02-26,Low,Outage,Resolved,1
72_6,72,2025-11-13,2025-11-13,High,Outage,Resolved,5
72_7,72,2026-02-22,2026-02-27,Critical,Billing,Escalated,4
73_0,73,2025-02-21,2025-02-21,High,Outage,Open,1
73_1,73,2024-08-07,2024-08-07,High,Outage,Resolved,1
74_0,74,2022-04-19,2022-04-21,High,Outage,Resolved,2
74_1,74,2023-04-01,2023-04-05,Critical,Outage,Escalated,1
74_2,74,2025-01-02,2025-01-05,Critical,Bug,Escalated,1
74_3,74,2025-09-22,2025-09-26,Critical,Bug,Open,3
74_4,74,2022-04-02,2022-04-05,High,Outage,Resolved,2
74_5,74,2024-08-07,2024-08-08,Critical,Billing,Escalated,1
74_6,74,2023-04-11,2023-04-12,Critical,Outage,Resolved,2
76_0,76,2025-02-06,2025-02-10,Critical,Outage,Open,3
76_1,76,2025-05-03,2025-05-05,Critical,Billing,Open,1
76_2,76,2025-04-30,2025-05-05,Critical,Outage,Escalated,2
76_3,76,2026-01-19,2026-01-22,High,Outage,Escalated,3
76_4,76,2026-01-26,2026-01-27,Critical,Feature,Resolved,1
76_5,76,2025-11-10,2025-11-12,High,Outage,Resolved,1
77_0,77,2025-08-11,2025-08-15,Critical,Bug,Resolved,2
77_1,77,2025-02-24,2025-02-26,Critical,Bug,Escalated,1
77_2,77,2025-07-19,2025-07-23,High,Bug,Open,2
77_3,77,2024-11-29,2024-12-01,High,Outage,Open,1
77_4,77,2025-11-27,2025-11-27,Critical,Billing,Open,3
77_5,77,2024-10-24,2024-10-27,Critical,Outage,Resolved,3
77_6,77,2025-05-20,2025-05-21,Critical,Bug,Resolved,1
77_7,77,2025-04-16,2025-04-17,Critical,Billing,Open,3
78_0,78,2025-10-26,2025-10-27,Critical,Billing,Resolved,3
78_1,78,2025-09-16,2025-09-20,High,Billing,Open,1
79_0,79,2024-07-18,2024-07-20,High,Outage,Open,1
79_1,79,2025-10-05,2025-10-06,High,Feature,Escalated,3
79_2,79,2025-03-28,2025-03-30,High,Feature,Escalated,2
79_3,79,2025-03-27,2025-03-27,Critical,Outage,Escalated,3
79_4,79,2025-10-12,2025-10-16,High,Bug,Open,3
79_5,79,2024-08-25,2024-08-30,High,Outage,Resolved,2
79_6,79,2024-11-09,2024-11-10,High,Billing,Escalated,3
79_7,79,2025-05-05,2025-05-06,High,Billing,Open,1
79_8,79,2025-06-07,2025-06-11,High,Billing,Escalated,1
80_0,80,2025-06-18,2025-06-22,High,Feature,Escalated,3
80_1,80,2025-08-31,2025-09-04,High,Billing,Resolved,1
80_2,80,2024-12-28,2025-01-01,High,Outage,Open,1
80_3,80,2024-07-04,2024-07-08,High,Feature,Open,2
80_4,80,2024-08-01,2024-08-02,Critical,Bug,Open,3
80_5,80,2025-05-03,2025-05-04,High,Bug,Resolved,1
80_6,80,2025-03-02,2025-03-02,Critical,Feature,Resolved,1
81_0,81,2022-07-22,2022-07-24,Low,Outage,Open,2
82_0,82,2026-02-27,2026-03-02,Medium,Outage,Open,5
82_1,82,2025-12-27,2025-12-30,Critical,Bug,Escalated,2
82_2,82,2026-01-15,2026-01-20,Critical,Bug,Resolved,1
82_3,82,2026-02-20,2026-02-20,Critical,Bug,Resolved,3
82_4,82,2026-01-14,2026-01-19,High,Bug,Escalated,3
82_5,82,2026-01-04,2026-01-09,Critical,Feature,Open,1
83_0,83,2026-01-23,2026-01-27,Critical,Feature,Open,1
83_1,83,2024-12-22,2024-12-25,Critical,Bug,Resolved,2
83_2,83,2024-08-29,2024-08-31,High,Billing,Resolved,2
83_3,83,2025-05-30,2025-05-30,High,Feature,Open,3
84_0,84,2025-01-13,2025-01-17,High,Feature,Open,1
84_1,84,2025-06-25,2025-06-26,High,Outage,Escalated,3
84_2,84,2025-11-15,2025-11-17,High,Bug,Resolved,4
85_0,85,2024-11-26,2024-11-29,Critical,Outage,Open,2
85_1,85,2024-07-02,2024-07-03,Critical,Outage,Escalated,3
85_2,85,2022-06-28,2022-06-30,Critical,Bug,Escalated,2
85_3,85,2022-02-03,2022-02-06,High,Outage,Escalated,1
85_4,85,2021-09-22,2021-09-27,Critical,Outage,Escalated,2
85_5,85,2024-03-31,2024-03-31,Critical,Billing,Resolved,2
85_6,85,2025-07-11,2025-07-15,High,Outage,Escalated,2
85_7,85,2023-11-06,2023-11-11,Critical,Billing,Resolved,1
85_8,85,2021-07-31,2021-07-31,High,Bug,Open,1
85_9,85,2024-04-27,2024-04-27,High,Billing,Open,2
86_0,86,2024-08-04,2024-08-05,Critical,Feature,Resolved,1
86_1,86,2024-03-23,2024-03-26,Medium,Billing,Open,4
86_2,86,2024-03-08,2024-03-12,Low,Bug,Open,3
86_3,86,2024-08-31,2024-09-02,High,Feature,Escalated,2
86_4,86,2023-09-25,2023-09-27,High,Bug,Escalated,4
86_5,86,2023-07-06,2023-07-11,High,Billing,Escalated,5
87_0,87,2025-04-12,2025-04-14,High,Feature,Resolved,3
87_1,87,2025-06-24,2025-06-27,High,Billing,Open,2
87_2,87,2024-06-06,2024-06-10,High,Billing,Resolved,2
87_3,87,2025-01-18,2025-01-20,Critical,Bug,Escalated,1
87_4,87,2023-03-15,2023-03-17,Critical,Outage,Escalated,3
87_5,87,2025-12-09,2025-12-13,Critical,Feature,Resolved,2
87_6,87,2024-03-30,2024-04-03,High,Outage,Open,3
87_7,87,2025-07-24,2025-07-26,Critical,Billing,Open,3
87_8,87,2023-12-01,2023-12-04,High,Feature,Open,3
87_9,87,2023-12-22,2023-12-23,High,Billing,Open,2
88_0,88,2026-01-17,2026-01-20,Low,Billing,Open,1
88_1,88,2025-06-19,2025-06-19,Medium,Billing,Escalated,1
89_0,89,2024-06-30,2024-07-03,Low,Outage,Resolved,3
89_1,89,2025-04-21,2025-04-23,High,Bug,Escalated,5
89_2,89,2026-02-24,2026-02-27,Critical,Bug,Escalated,5
89_3,89,2025-10-13,2025-10-18,High,Billing,Resolved,2
89_4,89,2024-10-15,2024-10-15,Critical,Feature,Open,1
89_5,89,2023-10-28,2023-10-29,Medium,Feature,Open,4
90_0,90,2024-09-30,2024-10-04,High,Feature,Resolved,5
91_0,91,2022-09-04,2022-09-08,High,Feature,Open,2
91_1,91,2024-11-04,2024-11-09,High,Billing,Escalated,3
91_2,91,2022-09-02,2022-09-05,High,Outage,Escalated,2
91_3,91,2024-03-20,2024-03-23,High,Bug,Resolved,1
91_4,91,2022-10-11,2022-10-14,High,Outage,Resolved,1
91_5,91,2026-02-12,2026-02-14,Critical,Bug,Resolved,3
91_6,91,2023-11-02,2023-11-04,High,Billing,Open,1
91_7,91,2024-05-19,2024-05-22,High,Feature,Escalated,1
92_0,92,2025-09-13,2025-09-14,Medium,Billing,Open,2
92_1,92,2025-07-20,2025-07-21,High,Outage,Open,3
92_2,92,2026-02-02,2026-02-02,Medium,Feature,Resolved,1
92_3,92,2025-12-20,2025-12-21,High,Billing,Open,3
93_0,93,2026-02-17,2026-02-21,Critical,Outage,Open,5
94_0,94,2024-12-22,2024-12-25,High,Billing,Open,2
94_1,94,2024-11-30,2024-12-02,Critical,Feature,Resolved,3
94_2,94,2025-02-11,2025-02-15,Critical,Outage,Escalated,3
